file,start,end,words
seg_001.wav,0.000,2.149,Assalamualaikum makcik...
seg_002.wav,2.149,3.578,Walaikumsalam...
seg_003.wav,3.578,14.200,Kamek nak nanyak soalan ngan kitak... soalan yang pertama tok apokah sigir permainan tradisional ataupun permainan moden yang pernah kitak main?
seg_004.wav,14.200,18.282,"Oh, permainan tradisional nak dolok-dolok mensayo kah?"
seg_005.wav,18.282,18.913,Aok eh
seg_006.wav,18.913,21.864,Main jengkek-jengkek ngak tauk cik tuk koh.
seg_007.wav,21.864,27.746,"Camni caro urang main permainan yo? Pasyo apo peraturan eh, pasyo berapo urang main?"
seg_008.wav,27.746,47.363,Caro main nakyo main tikam buah. Buah ya pasu eh pasu polah segi empat alu main talang. Slalu empat urang balo k main.
seg_009.wav,48.310,50.518,Kenak kitak suko main permainan yo?
seg_010.wav,50.518,52.571,pakey ngurus tuboh
seg_011.wav,52.571,55.684,"oh, dah makseh, yojak soalan kamek."
seg_012.wav,55.684,57.621,Samo samo.
