wav	words	duration
Kelantan_002_001_001_002.wav	amra tahu dok loni kea banyok gitu mo habuk	4.4524375
Kelantan_002_001_001_004.wav	tula napok supo jerebu jah	3.943375
Kelantan_002_001_001_005.wav	hooo lah kalu tok uje gak abih la	5.255
Kelantan_002_001_001_006.wav	hoo la napok supo kabuh gitu berabuk jah	5.1625625
Kelantan_002_001_001_007.wav	oloh la tok tahu la	1.996125
Kelantan_002_001_001_008.wav	bakpo eh jadi gitu	1.3625
Kelantan_002_001_001_010.wav	ore bbaka	1.3669375
Kelantan_002_001_001_011.wav	dok eh selain daripado ore bbaka mesti nih sebak bino ngumoh banyok dooh kea	4.63
Kelantan_002_001_001_013.wav	dea bino ngumoh banyok dooh mesti banyok habuk	2.995375
Kelantan_002_001_001_015.wav	hoo la pasir lah	2.4595
Kelantan_002_001_001_016.wav	rumoh simen gapo ore duk rodok-rodok tuh sumo nok wat rumoh simen-simen gapo jokong-jokong	8.3733125
Kelantan_002_001_001_018.wav	dok eh yo kese ko sapa ko malaysia ko	5.333
Kelantan_002_001_001_020.wav	gitu kiro mace misale ado kebakare hute dekat amazon sekali la ngan malaysia kiro	7.2445625
Kelantan_002_001_001_022.wav	kalu hok jauh tu tok gapo effect sangak la kironyo	4.95525
Kelantan_002_001_001_024.wav	kalu dea jerebu dok amra dok mesti banyok nyakit do	4.0873125
Kelantan_002_001_001_026.wav	try tengok loni ore-ore	1.64275
Kelantan_002_001_001_027.wav	ore diri pon batuk la selsemo la mace-mace jadi	5.5449375
Kelantan_002_001_001_029.wav	ho jolo doh ore sero ni gapo habuk-habuk masuk dale mato gapo	4.1010625
Kelantan_002_001_001_030.wav	pastu baye kea habuk-habuk tu cemar	2.6088125
Kelantan_002_001_001_031.wav	kalu keno tange kito keno kulit mesti la gata	4.328
Kelantan_002_001_001_033.wav	tuh la jange duk tenyeh sangat mato tuh	3.5244375
Kelantan_002_001_001_034.wav	biar mato tuh itu nih	1.640375
Kelantan_002_001_001_035.wav	bubuh eye mo tu	1.333125
Kelantan_002_001_001_036.wav	bubuh eye mo tu baguh hooo	1.9010625
Kelantan_002_001_001_038.wav	hooo lah baso dio doh ore tuo kea tokse wi anok dio sakit	4.17525
Kelantan_002_001_001_040.wav	tuh la hoo ma kito nyo saye ko kito	2.58825
Kelantan_002_001_001_041.wav	tuh la amra selain daripada nih sakit-sakit gapo kulit ni kito keno gi banyok jupo dokto spita nuh	6.997
Kelantan_002_001_001_043.wav	malah pulok doh	1.1836875
Kelantan_002_001_001_044.wav	kito ni keno rajin amra weh keno gi amik la ubak-ubak tu	4.2129375
Kelantan_002_001_001_045.wav	nih gapo kalu tok gi amik ubak tu sapa bilo kito nok duk gitu	4.3015
Kelantan_002_001_001_046.wav	nyo sia la kalu gi amik ubat gak	2.2378125
Kelantan_002_001_001_047.wav	make ubat como	1.718375
Kelantan_002_001_001_049.wav	jare-jare jugok	1.3219375
Kelantan_002_001_001_050.wav	time sakit la	0.8079375
Kelantan_002_001_001_051.wav	gi sokmo tu ore kato tok brapo nok saro kalu hok gi spita sokmo tuh	5.0240625
Kelantan_002_001_001_053.wav	dok la skalo gi nge ma nge abe gitu ah la	4.2854375
Kelantan_002_001_001_054.wav	pastu mitok la gapo	1.913
Kelantan_002_001_001_055.wav	royak la ko doktor tu bakpo sakit mato	2.926
Kelantan_002_001_001_056.wav	tanyo la sebak dulu	1.63025
Kelantan_002_001_001_057.wav	dea tahu kito tok tahu sebak gak	2.4468125
Kelantan_002_001_001_058.wav	kito tahu la ruponyo sebak jerebu loni nih menyebakke kito ni sakit	5.3899375
Kelantan_002_001_001_059.wav	gitu la	1.40625
Kelantan_002_001_001_061.wav	gata-gata mulut	1.4614375
Kelantan_002_001_001_063.wav	gata kulit	1.1525
Kelantan_002_001_001_064.wav	dok ingak ko gata mulut	1.4733125
