file,start,end,words
seg_001.wav,0.452,2.240,"Assalammualaikum, pak cik"
seg_002.wav,2.240,5.433,Waalaikummussalam wbt
seg_003.wav,11.977,13.336,Makan secara seperah
seg_004.wav,17.072,19.219,Tuan rumah dengan orang yang
seg_005.wav,20.079,20.849,telah diseruk.
seg_006.wav,21.483,22.276,ooh
seg_007.wav,22.276,23.544,um
seg_008.wav,26.193,30.677,"Ngekot besar ni majlis yo. Mun besar, rami orang diseruk."
seg_009.wav,38.491,47.662,Sidak laki akan duduk dan bergelumok di ruang tamu. Nak sidak empuan tek terus ke dapur
seg_010.wav,48.251,50.042,ngagak kejo masing-masing
seg_011.wav,50.540,59.529,seperti ngidang makanan dengan ngancoh air makanan nak diidang di engkah di talam besar.
seg_012.wav,60.163,63.786,Lepas yo sidak laki nak biak-biak yo
seg_013.wav,64.284,65.711,angkat talam
seg_014.wav,67.047,69.615,ensayo alu diidang
seg_015.wav,69.932,71.630,di ruang tamu
seg_016.wav,72.174,73.261,Sebelum yo
seg_017.wav,73.940,80.122,kain seperah akan diampar untuk ngidang makanan yo
seg_018.wav,80.710,81.322,tadik
seg_019.wav,81.956,83.992,Dalam siger seperah
seg_020.wav,84.490,89.290,"ado empat orang. Mun dah habis makan, makanan"
seg_021.wav,90.106,91.645,nak lebih yo
seg_022.wav,92.234,92.913,di
seg_023.wav,93.389,95.585,diembak ke dapor dan
seg_024.wav,95.970,97.449,dibungkus ke dalam
seg_025.wav,98.197,101.412,plastik pake embak tetamu pulang
seg_026.wav,103.314,105.759,Mana nok sidak empuan tadik
seg_027.wav,106.507,108.250,lepas habis makan
seg_028.wav,108.703,109.948,sidak akan
seg_029.wav,111.783,112.564,basuh
seg_030.wav,113.175,113.809,tapak
seg_031.wav,114.285,118.936,"cangkir, belangak ngan lain-lain secara gotong- royong"
seg_032.wav,125.380,135.348,"Besonyo bilo ado majlis keramaian macam makan hoi, doa selamat, majlis aqiqah dan kenduri kahwin."
seg_033.wav,142.458,153.294,"Pengajaran daripada makan seperah yo, kito dapat merapatkan hubungan keluargo, kejo nak berat jadi ringan"
seg_034.wav,153.702,155.672,dan saling kerjasama
seg_035.wav,161.640,167.130,Maso ngidang makanan sambel beloya ngan kawan-kawan
seg_036.wav,168.026,169.747,di kerek dan kanan.
seg_037.wav,175.340,176.517,Waalaikummusalam.
